,day,research,arabic,book,teaching,service,other,freethink,total,time,activities,Sleep,Exercise,
8/7/2014,Th,6,1,,,,4.9,0.25,12.15,11:50:00,"fatwaclicks, xxxx, permutation talk",,weights,
8/8/2014,F,6.7,,,,,,,6.7,8:36:00,fatwaclicks ,,sailing class 2,
8/9/2014,S,1.5,,,,,,,1.5,10:55:00,frontier,,sailing  ,
TOTAL ,,29.4,9.8,0,0.25,0,6.75,1.5,47.7,,,,,
,,0.98,1.4,0,0.08,0,1.35,0.5,0.99,,,,,
,,,,,,,,,,,,,,
GOALS,,15,7,0,3,0.1,5,3,33.1,,,,,
7/27/2014,S,0.5,0.15,,,,0.1,,0.75,,frontier,,,
7/28/2014,M,,1,,,,,,1,,vacation at cape ann motor inn,,"surf twice, pull-ups",
7/29/2014,T,,,,,,,,0,,vacation at cape ann motor inn,,surf,
7/30/2014,W,0.5,0.5,,,,0.25,,1.25,,vacation at cape ann motor inn,,surf twice ,
7/31/2014,Th,1.9,1.75,,0.15,,0.35,,4.15,11:00:00,prepped Sunday school ,,weights,
8/1/2014,F,9.85,1.05,,,,0.45,0.65,12,11:20:00,fatwaclicks,,"weights, run 2.5 miles",
8/2/2014,S,7.8,1.65,,,,,0.15,9.6,12:05:00,fatwaclicks,,,
TOTAL ,,20.55,6.1,0,0.15,0,1.15,0.8,28.75,,,,,
,,1.37,0.87,0,0.05,0,0.23,0.27,0.87,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,3,3,10,3,56,,,,,
7/20/2014,S,0.15,0.45,,,,0.35,,0.95,9:30:00,,,crunches,
7/21/2014,M,5.9,1.5,,,0.75,2.8,0.4,11.35,9:55:00,"NSF, ILM, plam polmeth talk",,weights,
7/22/2014,T,6,2.2,,,2,1.75,0.25,12.2,10:20:00,"NSF, lunch with xxxx, xxxx polmeth talk",,run 4 miles,
7/23/2014,W,11.8,0.95,,,,1,,13.75,8:42:00,"NSF, random readings, frontier, VeF ",sick,weights,
7/24/2014,Th,9.35,1.35,,,,0.5,,11.2,11:55:00,"frontier, ILM, VeF ",,run 4.5 miles,
7/25/2014,F,7,0.9,,,,2.4,1.5,11.8,10:50:00,"VeF, mormonism w xxxx, ILM, fatwaclicks",,weights,
7/26/2014,S,0.75,1.25,,,,,,2,10:30:00,fatwaclicks,,"run 4.5, pull-ups",
TOTAL ,,40.95,8.6,0,0,2.75,8.8,2.15,63.25,,,,,
,,1.37,1.23,0,0,0.92,0.88,0.72,1.13,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
7/13/2014,S,,0.65,,,,0.1,,0.75,8:30:00,,,pushups,
7/14/2014,M,1.75,2.3,,,4.25,3.6,0.25,12.15,11:15:00,"APSR review, ILM",,"swim Walden, weights ",
7/15/2014,T,3.7,2.95,,,,2.95,1.25,10.85,11:30:00,"SMR resubmit, NSF, ethics",,run 6.5 miles,
7/16/2014,W,1.45,3.75,,,,4.75,0.25,10.2,10:20:00,"lunch w xxxx, chat w xxxx, NSF ",,"weights, swim",
7/17/2014,Th,7.95,3.2,,,,0.6,0.75,12.5,10:25:00,"NSF, ILM",,"swim Walden, run 4.5",
7/18/2014,F,4.7,2.5,,,,1.5,0.25,8.95,10:25:00,NSF,,"swim Walden, weights ",
7/19/2014,S,4.1,0.25,,,,0.5,,4.85,10:00:00,NSF,,surf,
TOTAL ,,23.65,15.6,0,0,4.25,14,2.75,60.25,,,,,
,,0.79,2.23,0,0,0.85,1.4,0.92,1.09,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
7/6/2014,S,,,,,,0.75,,0.75,,camping,,,
7/7/2014,M,6,1.25,,,1.5,1,0.25,10,10:30:00,"frontier, comptxt, ILM, WP review",,"weights, swim, repped 205x2",
7/8/2014,T,1,,,,,1,,2,10:30:00,"comptxt, bike shopping ",,bike ride to Lexington ,
7/9/2014,W,5.7,2.2,,,,1,0.5,9.4,11:07:00,"ILM, muslim int submitted, frontier",,"weights, swim ",
7/10/2014,Th,6.5,4.05,,,,0.4,0.75,11.7,11:45:00,"frontier, ILM, syria, NSF, case selection, decap",,"weights, swim 1 hour",
7/11/2014,F,8.35,1.15,,,,0.15,0.25,9.9,12:25:00,"decap, NSF",,weights,
7/12/2014,S,6.45,0.4,,,,0.5,,7.35,11:12:00,"decap, NSF",,pushups,
TOTAL ,,34,9.05,0,0,1.5,4.8,1.75,51.1,,,,,
,,1.13,1.29,0,0,0.3,0.48,0.58,0.93,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
6/29/2014,S,4.45,,,,,,,4.45,12:37:00,"jihad2, comptxt",,30 pushups,
6/30/2014,M,9.4,2.45,,,,,0.75,12.6,11:50:00,"comptxt, ILM, jihad2",,"weights, swim, repped 200x2",
7/1/2014,T,9.5,0.7,,,,0.15,0.25,10.6,10:35:00,"comptxt, vef, syria, emotions",,weights,
7/2/2014,W,6.2,2.15,,0.75,,3.3,0.2,12.6,9:30:00,"ILM, muslim int, read for S&M",,"weights, swim, benched 220",
7/3/2014,Th,0.4,0.25,,0.3,,,,0.95,2:00:00,comptxt,,"pushups, crunches",
7/4/2014,F,,,,,,,,0,,camping,,hike,
7/5/2014,S,,,,,,,,0,,camping,,,
TOTAL ,,29.95,5.55,0,1.05,0,3.45,1.2,41.2,,,,,
,,1,0.79,0,10.5,0,0.35,0.4,0.75,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
6/22/2014,S,,,,,,,,0,,,,,
6/23/2014,M,8.1,1,,,,2.1,0.25,11.45,1:15:00,"ethics, case selection, chat with xxxx",late,"weights, swim",
6/24/2014,T,9.2,1,,,,1.75,0.25,12.2,12:00:00,"caseMatch, text matching, ethics",,"weights, swim",
6/25/2014,W,10.15,0.7,,,,0.35,0.75,11.95,11:10:00,"ethics done, ILM",,"weights, benched 210",
6/26/2014,Th,6.75,0.95,,,,1.8,1.25,10.75,12:45:00,"ILM, world cup, taxes problem, jihad2",,"weights, swim",
6/27/2014,F,12.85,1.45,,,,0.4,0.5,15.2,5:15:00,jihad2,,"weights, swim",
6/28/2014,S,2.6,,,,,,,2.6,7:45:00,jihad2,,,
TOTAL ,,49.65,5.1,0,0,0,6.4,3,64.15,,,,,
,,1.66,0.73,0,0,0,0.64,1,1.16,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
6/15/2014,S,,,,,,0.25,,0.25,,,,surf,
6/16/2014,M,3.75,0.35,,,,1.4,1,6.5,12:00:00,"ILM, pomeps ethics essay",,"weights, swim, benched 200",
6/17/2014,T,6.55,,,,1,1,,8.55,5:30:00,"ILM, decap,  meet xxxx",,weights,
6/18/2014,W,9.9,0.95,,,,1.75,0.75,13.35,12:30:00,ILM,,"weights, swim, repped 190",
6/19/2014,Th,5.7,0.5,,,,1,,7.2,10:40:00,"ILM, comptxt",,run,
6/20/2014,F,3.25,0.75,,,,0.75,0.25,5,11:30:00,"ILM, case selection",,weights,
6/21/2014,S,0.35,,,,,0.25,,0.6,12:45:00,emotions,late,,
TOTAL ,,29.5,2.55,0,0,1,6.4,2,41.45,,,,,
,,0.98,0.36,0,0,0.2,0.64,0.67,0.75,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
6/8/2014,S,1,,,,,0.5,,1.5,6:45:00,"comptxt, muslim int",,no,
6/9/2014,M,9.3,0.25,,,,1.35,,10.9,11:35:00,"muslim int, ILM, comptxt, demaid",,"weights, swim",
6/10/2014,T,8.6,0.65,,,,0.75,0.9,10.9,11:15:00,"demaid, ILM, NSF",,"weights, swim",
6/11/2014,W,1.5,0.8,,,,3.25,1,6.55,4:45:00,"pomeps ethics essay, ILM",,"weights, swim, benched 190",
6/12/2014,Th,4.5,,,0.4,,0.25,2.75,7.9,8:25:00,"kelly and dehlin excom, ILM, muslim int",,"weights, swim",
6/13/2014,F,5.75,,,2.5,,0.25,0.75,9.25,11:00:00,"s&m prep, fatwaclicks, ILM",,weights,
6/14/2014,S,0.75,,,,,0.25,,1,7:25:00,,,surf twice,
TOTAL ,,31.4,1.7,0,2.9,0,6.6,5.4,48,,,,,
,,1.05,0.24,0,29,0,0.66,1.8,0.87,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
6/1/2014,S,1.25,0.5,,,,0.15,,1.9,9:40:00,decap,up late,no,
6/2/2014,M,1.5,0.9,,,,,,2.4,10:00:00,"epic surf, took the day off",,surf 5 hours,
6/3/2014,T,5.1,2.25,,,,0.75,0.75,8.85,10:49:00,"arabic, comptxt",,surf,
6/4/2014,W,6.75,,,2,,2.5,,11.25,2:30:00,"muslim int, scope prep, ILM with xxxx",,"weights, benched 180",
6/5/2014,Th,11.65,,,,,0.75,,12.4,12:00:00,"decap, muslim int",2:30:00,no,
6/6/2014,F,10.25,0.25,,,,0.25,0.25,11,10:50:00,"muslim int, ILM,",,weights ,
6/7/2014,S,10.9,,,,,,,10.9,1:05:00,muslim int revisions done,,no,
TOTAL ,,47.4,3.9,0,2,0,4.4,1,58.7,,,,,
,,1.58,0.56,0,20,0,0.44,0.33,1.07,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
5/25/2014,S,3.3,0.75,,,,1.2,,5.25,11:15:00,"comptxt, arabic, emails, jihad2",,no,
5/26/2014,M,,,,,,,,0,,"day off, wingearsheek beach, donigan BBQ",,climbing,
5/27/2014,T,,0.75,,,,8.4,,9.15,1:00:00,lunch with xxxx,,"weights, swim",
5/28/2014,W,5,0.75,,,,2.4,,8.15,8:15:00,"lunch with xxxx, fatwaclicks, ILM",,"weights, swim, climbing ",
5/29/2014,Th,,1.75,,,,8,,9.75,10:15:00,"grades meeting, reading on tawhed ",,no,
5/30/2014,F,8.6,1.15,,,,1.5,1.5,12.75,12:15:00,"ILM, planning, tawhed reading, syria videos, decap",,"weights, swim",
5/31/2014,S,4.25,,,,,,,4.25,11:25:00,"decap, VeF, temple trip",,no,
TOTAL ,,21.15,5.15,0,0,0,21.5,1.5,49.3,,,,,
,,0.71,0.74,0,0,0,2.15,0.5,0.89,,,,,
,,,,,,,,,,,,,,
GOALS,,20,7,0,0.1,5,20,3,55.1,,,,,
5/18/2014,S,9.75,,,,,0.25,,10,5:20:00,muslim int,not much,no,
5/19/2014,M,9.5,,,,,,,9.5,6:20:00,"Muslim int empirics DONE, comptxt ",allnighter,no,
5/20/2014,T,0.5,,,,1,4.5,0.5,6.5,11:10:00,"coffee w xxxx, comments for xxxx",12 hours,no,
5/21/2014,W,4.25,0.9,,,0.85,6.5,1.25,13.75,2:00:00,"emails, xxxx, xxxx's brother, emotions","late, 2am","weights, swim",
5/22/2014,Th,4.15,0.85,,,1,2.35,,8.35,11:50:00,"emotions, xxxx meeting, POMEPS",,no,
5/23/2014,F,1,,,,,12.85,,13.85,11:00:00,POMEPS,,no,
5/24/2014,S,0.25,,,,,6.25,,6.5,3:15:00,POMEPS,,no,
TOTAL ,,29.4,1.75,0,0,2.85,32.7,1.75,68.45,,,,,
,,1.47,0.25,0,0,0.57,1.64,0.58,1.24,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
5/11/2014,S,1,,,,,,,1,,comptxt discussions,,,
5/12/2014,M,6.75,,,,,3.6,0.5,10.85,10:15:00,"muslim int, comptxt, fatwaclicks",,swim sprints,
5/13/2014,T,4.8,,,,0.5,3.85,,9.15,8:15:00,"fatwaclicks, VeF",,swim,
5/14/2014,W,3.6,,,,4.5,3,,11.1,11:30:00,"wittels thesis, lunch w xxxx, fatwaclicks",,swim,
5/15/2014,Th,8.4,,,,0.75,0.9,,10.05,11:41:00,"fatwaclicks, undergrad celebration",,no,
5/16/2014,F,6.4,0.4,,,2.75,1.25,0.25,11.05,10:50:00,"fatwaclicks at PERL, xxxx defense, muslim int",,no,
5/17/2014,S,8.25,,,,,,,8.25,3:40:00,muslim int ,,surf,
TOTAL ,,39.2,0.4,0,0,8.5,12.6,0.75,61.45,,,,,
,,1.31,0.06,0,0,1.7,1.26,0.25,1.12,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,5,10,3,55.1,,,,,
5/4/2014,S,,,,,1,,,1,,xxxx job market advice,,,
5/5/2014,M,4,,,,3,0.65,0.25,7.9,4:10:00,"xxxx job market advice, ISQ proofs",,skating,
5/6/2014,T,5.8,0.35,,,,2,,8.15,11:00:00,"pv breakfast, fatwaclicks, ISQ proofs, muslim int",no,climbing,
5/7/2014,W,5.35,,,,,2.5,1,8.85,6:00:00,muslim int,,no,
5/8/2014,Th,7.5,,,,1,2,0.5,11,12:35:00,"fatwaclicks, xxxx, HLS browsing, muslim int",,sprints,
5/9/2014,F,2.25,,,,1,3.5,1.5,8.25,5:00:00,"muslim int, frontier, convo with xxxx",,crunches,
5/10/2014,S,8.4,,,,,0.4,0.5,9.3,12:05:00,"muslim int, frontier, fatwaclicks",,sprints,
TOTAL ,,33.3,0.35,0,0,6,11.05,3.75,54.45,,,,,
,,1.11,0.05,0,0,1.2,1.11,1.25,0.99,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,1,21,3,62.1,,,,,
4/27/2014,S,0.4,,,,,0.65,,1.05,,comptxt emails,,sprints,
4/28/2014,M,5.4,0.5,,,0.35,4.25,,10.5,10:55:00,"fatwaclicks, Skype xxxx, neuroimaging talk",,sprints,
4/29/2014,T,4,0.35,,,2.25,1.5,0.5,8.6,9:05:00,"fatwaclicks, decap at JFRL, AJPS review",,no,
4/30/2014,W,3.75,2,,,0.6,1.25,0.75,8.35,9:55:00,"fatwaclicks, arab spring",4.5 hrs,surf - 4 hours,
5/1/2014,Th,4.8,0.35,,,1,4.3,0.25,10.7,1:00:00,"xxxx, fatwaclicks ",9 hrs,no,
5/2/2014,F,2.45,1.55,,,,4.45,0.5,8.95,1:40:00,ethics roundtable,7hrs,swim-sprints,
5/3/2014,S,1,,,,,0.5,,1.5,5:25:00,,not much,skating,
TOTAL ,,21.8,4.75,0,0,4.2,16.9,2,49.65,,,,,
,,0.73,0.68,0,0,4.2,0.8,0.67,0.8,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,1,21,3,62.1,,,,,
4/20/2014,S,,,,,,,,0,,"easter, brunches, surf",7 hrs,surf,
4/21/2014,M,5.25,,,,,3,,8.25,11:40:00,"emails, VeF, Muslim int, Jessica Stern book",,run,
4/22/2014,T,7.65,0.75,,,1.25,3.25,1,13.9,1:30:00,"VeF at pv breakfast, al-rasheed book",late,no,
4/23/2014,W,7.45,0.75,,,,0.5,1,9.7,10:42:00,"al Nusra survey, NIJ, ethics, al-rasheed book",,run,
4/24/2014,Th,7.35,1.25,,,,1.9,0.35,10.85,10:10:00,"al Nusra survey, NIJ,  ",,swim,
4/25/2014,F,3.25,0.3,,,,3.75,1.25,8.55,11:00:00,"xxxx job talk, fatwaclicks",,no,
4/26/2014,S,2.6,,,,,1.15,,3.75,11:45:00,al-rasheed book,,run,
